NDID,Product_Name,grams_Pro_per_100g,grams_Fat_per_100g,grams_Cho_per_100g,Category_1,Category_2,Category_3,Serving_Size,Store,Package_Amount,Price_per_Package
ND01703,Publix Crinkle Cut Carrots (frozen),1.176470588,0,8.235294118,Vegetables,Orange,Carrot,0.5 cup,PB,425,1.49
ND01696,"Carrots, baby, raw",0.64,0.13,8.24,Vegetables,Orange,Carrot,15g=1 large / 10g=1 medium,PB,454,1.25
ND00803,"Del Monte Fruit Cocktail, in water, artifically sweetened, no sugar added (canned)",0,0,8.26446281,Fruits,Fruits_Mixed,Null,0.5 cup,PB ,425,1.59
ND00834,"Del Monte Pear Chunks, no sugar added (canned)",0,0,8.26446281,Fruits,Pears,Other,0.5 cup,PB ,234,1.19
ND00835,"Del Monte Sliced Pears, in water, artifically sweetened, no sugar added (canned)",0,0,8.26446281,Fruits,Pears,Other,0.5 cup,PB ,411,1.59
ND00395,Ole Queso Dip - Medium,13.33333333,20,8.333333333,Dairy_and_Egg,Cheese,Other,1 tbsp,PB,454,4.99
ND00419,Great Value Heavy Whipping Cream Grade A (Ultra Pasteurized),0,33.33333333,8.333333333,Dairy_and_Egg,Cream,Null,1 tbsp,SW,473,2.38
ND00421,Publix Ultra Pasteurized Heavy Whipping Cream,0,33.33333333,8.333333333,Dairy_and_Egg,Cream,Null,1 tbsp,PB,473,3.45
ND00422,"Winn Dixie Grade A Heavy Whipping Cream (Ultra Pasteurized, 473ml)",0,33.33333333,8.333333333,Dairy_and_Egg,Cream,Null,1 tbsp,WD,473,3.59
ND00638,Parkay Fresh & Creamy 58% Whipped Vegetable Oil Spread,0,66.66666667,8.333333333,Fats_and_Oils,Margarine_and_Margarine_Substitutes,Supplemented,1 tbsp,PB,368,1.89
ND00962,Hickory Sweet Center Cut Bacon,33.33333333,33.33333333,8.333333333,Meats,Bacon_and_Sausage,Pork_Bacon,3 pan fried slices,WD,340,5.99
ND00976,Hormel Black Label Bacon Center Cut,33.33333333,33.33333333,8.333333333,Meats,Bacon_and_Sausage,Pork_Bacon,2 pan fried slices,PB,340,6.99
ND01350,Hidden Valley Ranch Dressing - Original,3.333333333,46.66666667,8.333333333,Sauces_Soups_Condiments_Dressing,Dressings,Ranch,2 Tbsp,PB,710,4.95
ND01370,"Chi-Chi's Salsa - Mild,  Thick and Chunky ",0,0,8.333333333,Sauces_Soups_Condiments_Dressing,Sauces,Salsa,2 Tbsp,PB,454,2
ND01372,"Old El Paso Salsa - Mild, Think n' Chunky ",0,0,8.333333333,Sauces_Soups_Condiments_Dressing,Sauces,Salsa,2 Tbsp,SW,680,2
